"","MSFT.Adjusted","AAPL.Adjusted","AMZN.Adjusted","GOOG.Adjusted","BRK.B.Adjusted","JPM.Adjusted","JNJ.Adjusted","WMT.Adjusted","XOM.Adjusted","V.Adjusted","PG.Adjusted","BAC.Adjusted","MA.Adjusted","T.Adjusted","HD.Adjusted","VZ.Adjusted","DIS.Adjusted","CVX.Adjusted","INTC.Adjusted","KO.Adjusted","UNH.Adjusted","WFC.Adjusted","BA.Adjusted","CSCO.Adjusted","CMCSA.Adjusted","MRK.Adjusted","PFE.Adjusted","PEP.Adjusted","ORCL.Adjusted","C.Adjusted"
"289",15.497364,15.435586,75.959999,197.509689,58.580002,27.176727,40.318027,38.085018,48.915619,13.51029,38.105778,10.287633,16.19861,13.24464,17.719862,16.442225,20.123188,44.011894,10.978125,15.299201,23.147736,19.212202,33.062267,14.114471,5.939552,17.904434,10.062547,37.430183,16.283081,34.330391
"290",15.442636,15.226769,75.639999,196.015289,58.16,26.79516,40.156723,38.193592,49.230339,13.40226,38.112953,9.98108,15.884433,13.250238,17.696648,16.244877,20.530327,43.991409,10.884109,15.502408,22.614614,18.652098,32.79496,13.958513,5.845013,17.938704,10.15075,37.488319,16.353224,33.868954
"291",15.90396,16.255972,78.389999,201.425003,59.779999,28.453798,40.515984,38.775223,49.931263,13.610168,38.651997,9.899934,15.908021,13.714664,18.424324,16.707243,21.257982,44.82428,11.195083,15.472911,23.379898,19.680227,33.726723,14.418596,6.034093,18.206039,10.191464,37.277523,16.721504,34.791821
"292",15.739758,16.538132,77.099998,202.022766,58.66,26.989838,39.753471,38.247871,48.851246,13.436909,37.214584,9.836819,15.791977,13.468458,18.060484,16.323816,20.677589,44.080158,11.180621,15.282815,23.637863,18.47563,33.276112,14.20805,5.877896,18.254023,9.947195,36.354305,16.651356,34.145809
"293",15.989967,16.789219,77.650002,204.433731,58,28.539457,39.980759,38.426247,49.516426,13.555133,37.796734,10.188457,16.238235,13.781809,17.572779,16.504253,20.78154,44.926678,11.36865,15.371307,23.379898,19.005037,33.848919,14.434199,5.832683,18.349991,9.96755,37.088497,16.844255,33.868954
"294",16.334005,16.881203,77.989998,207.835983,59.439999,28.734125,40.442661,38.573589,49.602257,13.801779,37.329575,10.161407,16.636389,13.871336,17.928877,16.498611,20.980778,45.513775,11.36865,16.112015,22.872578,19.565138,34.2537,14.426397,5.660045,18.905216,10.306815,37.837257,17.177464,34.330391
"295",16.732779,17.321232,83.050003,212.483566,59.689999,28.118954,40.89724,39.232761,51.326004,13.587748,38.350143,10.107306,16.391077,13.787405,18.703014,16.492973,21.682447,47.247757,11.932746,16.066128,23.646463,19.511431,36.430359,15.206203,5.7217,18.870943,10.015049,38.622349,17.466824,34.053543
"296",16.732779,17.338623,84.93,213.400131,59.959999,26.86524,41.212524,38.720932,52.155693,13.618326,38.601696,10.287633,15.887259,13.899319,18.966219,16.673409,21.769075,47.343342,11.708552,16.275885,24.162384,18.71348,37.575958,15.291984,5.943664,18.987467,10.164323,40.250694,17.843864,32.392384
"297",16.990808,17.520102,85.68,215.019058,58.48,26.460323,41.175854,39.457661,51.554871,13.907775,38.673546,10.116175,15.804234,13.686687,18.865578,16.684692,21.725761,46.59922,11.527754,16.089071,23.646463,18.513987,36.942062,15.097034,5.832683,18.912069,10.103254,39.774315,17.835102,31.28495
"298",17.068996,17.866899,85.519997,219.317947,58.66,27.527142,40.941242,39.449913,52.198597,14.170716,38.342957,10.711776,15.888206,13.630734,19.020393,16.673409,21.777735,47.643707,11.66516,16.308666,23.448692,19.258238,38.622295,15.33877,5.947776,18.474194,9.933623,40.177414,18.071848,32.946091
